# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2948
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2948
DATA ascii
-0.12176671 1.27260780 -0.88639563
0.50547373 1.17717946 -0.56544060
0.49632058 1.20834851 -0.70068192
0.36026475 1.14756012 -0.50470781
0.36512294 1.22535145 -0.83513260
0.42367303 1.25028253 -0.92448896
0.29598296 1.18415642 -0.67006576
0.25580430 1.19089925 -0.70103514
0.15125203 1.19193387 -0.69859117
0.16775610 1.27271748 -1.06989467
-0.03333483 1.22875094 -0.81252146
-0.11793422 1.21862257 -0.66060734
-0.13776934 1.17867327 -0.48411784
0.43166569 1.09902215 -0.31736296
0.23570086 1.11781800 -0.44268280
0.17356801 1.11855781 -0.45241210
0.11862009 1.12509346 -0.46572834
-0.10070480 1.16909981 -0.49537542
0.26441601 1.01227188 -0.12689456
0.00583905 1.01948214 -0.14338169
0.59843224 3.67761707 2.53310347
0.62600327 3.78561997 2.54087257
0.44493484 3.65092134 2.16820621
0.54806119 3.65203571 2.42277622
0.51921701 3.76931882 2.28574705
0.54081643 3.75066257 2.34963965
0.73445004 3.57976365 2.92446566
0.75169730 3.66238332 2.92584229
0.48517925 3.66202998 2.26369691
0.52251822 3.61227655 2.38244700
0.81983006 3.74081159 3.05424118
0.42850921 3.66648626 2.12053990
0.96574259 3.51513147 3.53459811
0.62965196 3.67775393 2.61452532
0.70994371 3.55227327 2.87952852
0.97545761 3.55270481 3.54362607
1.07649076 3.73302150 3.44832826
1.13548195 3.49089003 3.83694410
1.08588684 3.54701138 3.70018220
0.88319844 3.76336861 3.15800667
1.16371047 3.50206399 3.65209961
1.15175569 3.55564833 3.67033148
1.16261482 3.55119514 3.60755777
1.19089687 3.42214561 3.57687664
1.18557477 3.46321893 3.56584167
1.24638653 3.61523962 3.18908024
1.23037624 3.65438795 3.22419810
1.37729359 3.53615522 2.40620828
1.25800109 3.51765490 3.18983412
1.29468048 3.63818479 2.93535471
1.25163949 3.40219736 3.24511480
1.27215970 3.53272772 3.09530973
1.30867374 3.59139156 2.60085273
1.30952489 3.60125589 2.66393328
0.31805637 3.61535525 1.86538160
0.56759173 3.66544652 2.45784903
0.19522262 3.51180983 1.60034657
0.65358120 3.71324444 2.63630438
0.47750577 3.71278405 2.13605928
0.51957542 3.66710138 2.31355214
0.61035800 3.78595543 2.42131519
0.50556529 3.73316526 2.19007087
0.87181771 3.80344415 3.00801897
0.77615803 3.82381058 2.79433346
1.01150680 3.90010428 2.87991381
0.85879618 3.88879895 2.68888617
0.99878734 3.83791471 3.06289482
1.07839978 3.88268137 3.03625059
1.16561782 3.80757689 3.02158451
1.16433501 3.79719400 3.11700153
1.17790210 3.74993730 3.35366416
1.25943327 3.70594907 2.86710072
1.13607132 3.86750770 2.84467173
1.25533962 3.75955915 2.46394682
1.30652034 3.49497867 1.87366498
1.29634154 3.58357239 2.02876568
1.29944038 3.55331802 2.14067340
1.28918803 3.63930655 2.45415092
1.28232646 3.68117714 2.20538092
1.25180340 3.45352244 1.48946154
0.55132312 3.75379467 2.27237916
0.33684868 3.59184599 1.84358120
0.42500857 3.65048146 1.93227613
0.60687119 3.80541396 2.27577996
0.53476202 3.74246192 2.15370321
0.36230141 3.59688854 1.81542730
0.60308546 3.79265499 2.20337987
0.94856095 3.90459418 2.71641612
0.84407115 3.87726045 2.59861612
0.86294770 3.84962797 2.31399536
0.70575356 3.80187798 2.14297271
0.84067512 3.85259175 2.42367768
0.63895208 3.78746367 2.15119433
1.15528524 3.85130000 2.61356449
1.02596188 3.84367847 2.28472257
1.16139007 3.83357430 2.54239345
1.03778493 3.81253099 2.16910672
1.12515497 3.75582528 2.10279799
1.16975582 3.69102573 1.90928829
0.98976302 3.83427882 2.16360474
1.24631858 3.52403545 1.65806961
1.25736940 3.66500998 2.07840562
1.20011997 3.37633562 1.16081905
0.03967913 3.28270054 1.15615690
0.26824504 3.48620653 1.53056574
0.36334291 3.56738663 1.66712391
0.12725703 3.31302643 1.23728859
0.16690584 3.35394120 1.30380630
0.60047841 3.67023683 1.80698228
0.66478217 3.78661990 2.06375360
0.46096909 3.56813788 1.58522868
0.80374283 3.75869560 1.98878062
0.73061568 3.60977983 1.60220742
0.67282999 3.65102315 1.73887575
0.57648879 3.61397290 1.67234147
0.90008831 3.69960451 1.82079065
1.08920395 3.64585137 1.73924112
0.99422461 3.66956162 1.77240908
0.90939921 3.66191912 1.73372579
1.03342152 3.47006798 1.32016265
0.96467340 3.60308647 1.60967958
0.97908551 3.60052490 1.60734093
1.11650443 3.23707151 0.80183083
1.14806962 3.42642212 1.24689949
1.17224443 3.52027416 1.46952355
1.04842722 3.09258199 0.54147971
1.06122160 3.38426685 1.12920558
-0.07563938 3.01686001 0.78674328
0.07759019 3.21174335 1.04555345
0.33520010 3.41657352 1.32719421
0.06688990 3.08169985 0.88453192
0.31027055 3.36996722 1.26034307
0.57340223 3.53800511 1.49464345
0.45426574 3.44028759 1.35218525
0.41463351 3.49024844 1.43056333
0.37485525 3.36072612 1.23522687
0.46661487 3.32794642 1.17321777
0.74051136 3.51661468 1.43902266
0.76362890 3.58921933 1.56073916
0.40783817 3.27108717 1.08750033
0.83935112 3.55371761 1.48426795
0.78770196 3.51798725 1.43235505
0.77610826 3.50989008 1.42056978
0.76045430 3.47850871 1.36931622
0.73589444 3.21516013 0.92193848
0.89795834 3.34094429 1.10646415
0.82637691 3.20414758 0.88696361
1.03477418 3.40481639 1.18691361
0.98225176 3.33095622 1.07391512
0.89729404 3.12578654 0.71626103
0.90571558 2.99719930 0.47414666
0.92722100 2.84776664 0.18961343
0.11024133 3.02475524 0.79941976
-0.07804797 2.87798142 0.62840229
0.07814751 2.81606388 0.55978030
0.09859548 2.91900992 0.68398756
0.48323858 3.22651744 1.00249279
0.53467870 3.24831867 1.02301526
0.44856265 3.12663317 0.88415211
0.49141264 2.99509454 0.69564360
0.43640834 2.92732167 0.61718005
0.44959569 2.97058105 0.67289156
0.66573751 3.19451165 0.91529506
0.62388670 3.15979362 0.88113546
0.61034667 3.13320708 0.84845060
0.61232054 3.03200483 0.70516235
0.78926313 3.09001088 0.72461063
0.60064965 2.86700320 0.47916681
0.87161946 2.95446229 0.43081480
0.78624445 2.81393409 0.26129979
0.71918815 2.84861517 0.38495582
0.81299299 2.72982168 0.10905798
0.78849256 2.80453062 0.24309501
0.14790308 2.81446028 0.54560554
-0.06733263 2.66004562 0.40572581
0.07126641 2.54627585 0.28380165
0.16793422 2.63099670 0.35141623
0.37436673 2.87680650 0.56733245
0.31643850 2.64486194 0.32699829
0.51188427 2.83549213 0.47304454
0.61229193 2.80468440 0.39342397
0.36654639 2.59260917 0.24685100
0.67993742 2.72568059 0.22805201
0.68538785 2.67749691 0.15055580
0.66223198 2.59347749 0.04431667
0.14319149 2.29732275 0.02495159
0.22029765 2.39466071 0.10677519
0.35268265 2.45369792 0.10678722
0.43677166 2.47807646 0.07931784
-2.05450106 4.24977589 -0.82209843
-1.70688915 4.37929010 -0.76656514
-2.58776665 4.13873625 -0.89500433
-1.70631516 4.26677275 -0.78227669
-1.85914433 4.29029465 -0.79541236
-2.42610645 4.18522215 -0.87160999
-2.29176760 4.32592344 -0.83926815
-1.76985693 4.35742283 -0.77808201
-1.52855611 4.35008955 -0.75253332
-1.81989408 4.27085209 -0.79440355
-2.60805249 4.18399763 -0.89293730
-2.61284161 4.37089872 -0.76741624
-2.55795074 4.28247404 -0.83685142
-2.83531928 4.09371758 -0.91596293
-2.63605523 4.36261654 -0.76838100
-2.68572855 4.09411001 -0.73590410
-2.60696959 4.22450113 -0.70184994
-2.45411944 4.23265648 -0.56241620
-2.16166711 4.27097940 -0.33864033
-2.46906519 4.17067909 -0.56676900
-2.01111913 4.22297859 -0.21994498
-1.79676151 4.25345087 -0.09835985
-1.94580591 4.26825142 -0.17563628
-1.17371440 4.30155516 -0.71681535
-1.27772951 4.28671408 -0.72864705
-1.46086311 4.30994034 -0.74230891
-1.81069922 4.42540836 -0.75294310
-1.55673182 4.35522366 -0.74048990
-2.16624117 4.41224194 -0.79062998
-2.17876267 4.47978401 -0.66995090
-2.15315175 4.47961426 -0.67362654
-2.01614690 4.50074625 -0.65960789
-2.36120391 4.37146044 -0.55034304
-2.51998997 4.38104439 -0.68162888
-2.01498508 4.45061111 -0.37088794
-2.10477281 4.41244459 -0.39869413
-1.80667484 4.36531353 -0.18404843
-1.93470800 4.33619738 -0.25026587
-1.18165600 4.20573568 0.14824897
-1.04110408 4.17622423 0.20665893
-0.97090048 4.24287033 -0.68054044
-1.18252993 4.30645895 -0.67367798
-1.37639868 4.41193914 -0.64927924
-1.17384243 4.33971214 -0.64098805
-1.73790514 4.47737360 -0.69315112
-1.78143442 4.48656464 -0.63885957
-1.77718449 4.52096605 -0.45776087
-1.82347918 4.50768900 -0.53998494
-2.02110457 4.53226614 -0.55189723
-1.91099226 4.51734638 -0.46621642
-1.87395716 4.50544786 -0.43149716
-1.77332306 4.44043446 -0.26142055
-1.63904786 4.47597313 -0.32364035
-1.48724496 4.37568998 -0.08119646
-1.45048988 4.32416630 -0.03067564
-1.09809530 4.24735022 0.10739337
-1.05128682 4.30081844 -0.61827552
-0.81007254 4.18742228 -0.58318132
-0.79277182 4.19612741 -0.53658468
-1.36591268 4.42610645 -0.52683645
-1.45016372 4.44849253 -0.45934486
-1.31884360 4.41377163 -0.56601453
-1.10481179 4.33009911 -0.33936018
-1.01621783 4.29869461 -0.38752902
-1.02260804 4.29989433 -0.42939746
-1.33724642 4.39678526 -0.26600739
-1.50869143 4.43704367 -0.23140071
-1.50327456 4.45580912 -0.32701942
-1.14496899 4.29339075 -0.04066974
-1.30311954 4.33602858 -0.02944385
-0.96976769 4.22077799 0.06137892
-0.63132536 4.06336927 0.28520480
-0.09807748 3.78246069 -0.50502151
-0.36514169 3.96457434 -0.54384685
-0.47334403 4.00514889 -0.39128196
-0.44886804 3.98997068 -0.48049623
-0.73514771 4.15385008 -0.41924539
-0.71497631 4.13016558 -0.35505289
-0.71229351 4.11648130 -0.20670836
-0.54948103 4.04315424 -0.35142303
-0.58389008 4.05742073 -0.30481282
-1.00700891 4.27158451 -0.23762843
-1.02782977 4.27017498 -0.11998457
-0.74844486 4.12750673 -0.12521392
-0.85761005 4.17084503 -0.00321361
-0.56447560 4.00649738 0.11655334
-0.51836985 3.99778509 0.24541333
-0.61917019 4.05183268 0.23117189
-0.29495236 3.87153125 0.33102453
0.02041253 3.65650821 -0.41275358
-0.17537484 3.77504206 -0.30283859
-0.35367322 3.88693380 -0.23297700
-0.57938260 4.05190325 -0.26778078
-0.22799116 3.79566574 -0.18151948
-0.58608627 4.03496504 -0.15806480
-0.61636668 4.05227852 -0.08912087
-0.49956495 3.96870422 -0.01157633
-0.33629465 3.85181332 0.07410140
-0.19800435 3.79112101 0.28850475
-0.36307943 3.88782287 0.21108803
-0.04452567 3.67250943 0.30519533
0.03307929 3.60851812 -0.29843614
-0.08498670 3.69143844 -0.24544840
-0.19475624 3.76402545 -0.13765948
-0.16271918 3.72575188 -0.06947826
-0.09081165 3.66371274 -0.03932509
-0.04887411 3.66390228 0.26462412
0.06359884 3.57579136 0.28452954
0.28756711 3.31695318 -0.03626257
3.51552272 6.32183361 0.03490426
4.70356607 6.19917727 -0.28515795
3.37427115 6.29448462 0.07749267
3.33777285 6.39168835 0.07722063
2.94115663 6.34854078 0.19316483
4.19252634 6.31657791 -0.15447304
3.01770115 6.28501415 0.17855901
3.03803587 6.30357265 0.17084670
3.51395750 6.43352365 0.02326446
3.21854520 6.39617205 0.11018723
4.04723549 6.19022465 -0.10004423
3.14811659 6.24997234 0.14575830
3.74748945 6.26309347 -0.02291317
3.97947979 6.44691181 -0.10533193
4.69195652 6.18604851 -0.28034437
3.84976768 6.28728771 -0.05386995
4.09110260 6.20031452 -0.11328274
3.69450879 6.20725536 -0.00277934
3.41572022 6.25027561 0.07129046
4.53914356 6.34820080 -0.25285745
3.70607066 6.20484591 -0.00579199
4.24949455 6.29633093 -0.16676404
4.10323906 6.39221096 -0.13484378
4.21814251 6.21738958 -0.15050614
4.37686586 6.29349089 -0.20219590
5.25941896 6.10070753 -0.42875728
5.03865051 6.20169497 -0.37660700
4.72469187 6.44370699 -0.38251039
4.59894466 6.42214298 -0.30036640
4.66367579 6.55876350 -0.43632394
5.34917641 6.15467405 -0.49483317
4.50540161 6.43958426 -0.26424724
5.09589672 6.30694580 -0.47543064
5.35930872 6.16351986 -0.50675714
4.77033758 6.41878939 -0.38789070
5.06280994 6.07072687 -0.61392444
5.28196955 6.09888983 -0.54828709
5.02352715 6.35519505 -0.53581148
4.84607220 6.52305794 -0.52976757
5.24700356 6.21492004 -0.52134365
4.65571022 6.23099995 -0.69376498
4.36394501 6.36187887 -0.74926227
4.55258751 6.47051239 -0.64690137
4.52377319 6.37608194 -0.68931246
4.76319122 6.25881863 -0.64716589
4.59537649 6.50895929 -0.61893427
4.61095715 6.15466881 -0.72005230
3.88578796 6.27369118 -0.88629013
4.61893129 6.11400461 -0.72421944
4.02081299 6.37692118 -0.83623594
4.16314030 6.28011942 -0.81479627
3.92961264 6.35839272 -0.86224532
4.37566090 6.24186230 -0.76659214
3.75980973 6.22279835 -0.92607164
3.56660080 6.30240297 -0.91574711
3.66305470 6.32184315 -0.89320022
3.12944221 6.21426296 -1.01851153
3.18563366 6.22614527 -0.99561739
3.39923406 6.28862906 0.06693289
2.44170237 6.12186289 0.35159957
2.45401669 6.03844976 0.34962070
3.01592422 6.28846312 0.17957865
3.40455818 6.32963514 0.06456215
3.30665898 6.31666756 0.07717124
3.34397817 6.31743956 0.06884771
2.85906124 6.25319529 0.19358167
3.53865004 6.35648775 0.01471817
2.48088980 6.05841494 0.33510584
3.61637902 6.53726101 -0.05741358
3.86950159 6.45086145 -0.08584318
4.03981638 6.50522375 -0.13937792
3.82656169 6.44040108 -0.07333856
3.78722644 6.56598663 -0.14165926
4.14384270 6.54375553 -0.21492812
3.82842636 6.56638908 -0.15676099
3.70776606 6.57033968 -0.12077860
4.07675505 6.65991402 -0.39215618
3.92633057 6.64342690 -0.31298470
4.04492331 6.67260551 -0.40081754
4.22188091 6.58812284 -0.33079228
3.98028302 6.59688902 -0.25899616
4.31910563 6.64685059 -0.45747018
4.72051191 6.58734703 -0.53121763
4.40367365 6.48201942 -0.69346100
4.01942396 6.71616411 -0.52237737
4.28854275 6.58784723 -0.60594004
4.55245304 6.55362272 -0.59476674
3.80495572 6.48264790 -0.79637063
3.72245312 6.63537645 -0.65552831
4.03590679 6.50744200 -0.73144394
3.62676382 6.54108906 -0.76771796
4.02064514 6.64594221 -0.59347129
3.66664004 6.55723763 -0.74445975
3.36768079 6.27583218 -0.89895457
3.40499687 6.36375475 -0.87431091
3.72466493 6.45116282 -0.82288468
3.88343191 6.39000702 -0.82242346
3.50766611 6.43289804 -0.84794360
3.11792350 6.22988319 -0.93377495
3.21694946 6.24672794 -0.92029840
2.01803708 5.98464489 -1.00748932
3.18684030 6.42295694 -0.87139601
2.68952823 6.23797607 -0.92709446
1.99166870 5.86490536 0.48236319
2.32320356 5.97022057 0.34780565
3.38215089 6.49077606 0.00252041
2.51453757 6.13541937 0.23269287
2.52331424 6.12810612 0.23835444
2.71327782 6.24461985 0.15921217
2.32051063 5.98410559 0.33723918
2.41801357 6.09758139 0.25722587
3.71216822 6.65386915 -0.33583403
3.49736452 6.57693291 -0.17654066
3.42521930 6.54332352 -0.07725029
3.72634983 6.64239597 -0.24879585
3.43384361 6.58835554 -0.27838090
3.50199008 6.60341692 -0.29299581
3.38555813 6.62602329 -0.40689543
3.36468434 6.58402443 -0.29501742
2.96311808 6.45646906 -0.09741693
3.17746592 6.52084970 -0.19224539
3.64649916 6.67366171 -0.43403506
3.68694925 6.66893959 -0.54279715
3.87574649 6.72273016 -0.49733302
3.27314210 6.59346342 -0.52085918
3.34265041 6.62045288 -0.48352605
3.40335560 6.52012157 -0.80603844
2.83852696 6.41752243 -0.75207525
2.74483728 6.38043356 -0.79910004
3.20325947 6.50520277 -0.72757465
3.18296480 6.51491213 -0.68814510
3.12022781 6.46815443 -0.78093576
2.75378084 6.27183580 -0.90794420
2.70886660 6.32398510 -0.85593337
2.34611893 6.12893677 -0.94601899
2.20845842 6.08720303 -0.95347768
1.84111083 5.95474100 -0.96873832
1.48393798 5.78700066 -1.00108528
1.53461647 5.80998230 -0.99977243
1.55798841 5.55496645 0.57102847
2.23348761 5.98798466 0.29119602
1.42148817 5.43313503 0.57122427
1.86913621 5.79753637 0.30595061
2.35154819 6.11547184 0.14477903
2.46054983 6.17324638 0.13060971
2.28611660 6.07498789 0.16246504
1.85784233 5.77500248 0.33359733
2.87729311 6.42624235 -0.15061671
2.94680214 6.46759605 -0.21255147
2.87114549 6.42499018 -0.16998403
2.69612169 6.31691885 0.02669546
2.55686212 6.25579500 -0.07369505
2.97208118 6.47859335 -0.19331068
2.58207130 6.27492189 -0.11458293
2.65032506 6.35508108 -0.33491683
2.53419852 6.26982307 -0.18268001
2.60053205 6.32012129 -0.27659786
2.63772678 6.30682707 -0.14854097
2.38660932 6.22753477 -0.27692026
2.50230455 6.26259136 -0.21134928
2.58371830 6.33120489 -0.47257495
2.43790770 6.26650810 -0.36714312
2.94746995 6.49872065 -0.48414493
2.88731146 6.46984291 -0.53047526
2.64752531 6.35425997 -0.73484492
3.02135921 6.53298140 -0.47687957
2.43254161 6.25385666 -0.70640028
2.31654549 6.20399427 -0.54220992
2.01666451 6.05590534 -0.73170030
2.25897765 6.17898464 -0.46914867
2.27458787 6.18086863 -0.64572620
2.20935607 6.14588928 -0.77744770
1.62851298 5.86793137 -0.90451574
1.24393952 5.68421555 -0.97549063
2.01132894 6.05006981 -0.86431712
1.72391307 5.91357803 -0.80850208
1.76000476 5.92241240 -0.77165049
1.05882239 5.56938887 -0.95596063
1.29435766 5.32749462 0.57989949
1.40816414 5.40738106 0.47612533
1.35677779 5.35590601 0.46623755
1.36796021 5.36802578 0.47177112
2.10871482 5.98854351 0.15710571
1.54582489 5.55150652 0.26024386
1.30790007 5.31264734 0.46844900
1.27257764 5.29244089 0.45297092
2.17079234 6.05158091 0.00883100
1.92048883 5.86747885 0.02157272
1.80884027 5.77406168 0.14618103
2.13999176 6.03977585 -0.10379560
1.78487277 5.76064777 0.10303811
1.91594338 5.86409569 0.02222865
2.20453978 6.10408497 -0.25409660
2.13088441 6.04873419 -0.22115259
1.73843038 5.75523615 -0.05246726
1.93291461 5.90536451 -0.15857807
1.74203110 5.78491688 -0.18378492
1.59911001 5.62348270 0.13994515
2.16627836 6.13197327 -0.54257244
1.97377801 6.00434732 -0.54216850
2.04080105 6.06717777 -0.64595073
1.94624674 5.94724369 -0.32322162
1.98480368 6.01244545 -0.54663277
1.74751687 5.82272482 -0.36357671
1.94292235 5.95651150 -0.38784865
1.64601016 5.80300474 -0.64093691
1.73483348 5.84195805 -0.52293944
1.69250655 5.82226563 -0.57266086
1.61311007 5.78081942 -0.63998312
1.68647790 5.78273726 -0.36831418
1.35815024 5.65848637 -0.72870946
1.47317946 5.75579691 -0.78954142
1.80325913 5.92510653 -0.71791631
1.39232087 5.67002678 -0.70788693
1.28794575 5.59536457 -0.68322670
0.90568256 5.34583092 -0.71664912
0.77525455 5.32240295 -0.82636935
1.17219365 5.50916576 -0.66856509
1.47926021 5.50453615 0.21168655
1.15860343 5.18444777 0.37013209
1.19482374 5.22748089 0.42666709
1.09930074 5.15741777 0.21296141
0.87550378 4.89781952 0.43720472
1.06038845 5.09202242 0.33394143
1.36841846 5.43201447 0.04209472
1.30276155 5.35796595 0.13906670
1.48345828 5.53426838 0.05980667
1.55652094 5.61597586 -0.04336685
1.62772036 5.70256853 -0.19147372
1.18013120 5.27688503 -0.00612339
1.12069499 5.26011133 -0.14240763
1.07987010 5.18142891 0.03802640
1.16511238 5.24425364 0.07529277
1.14101803 5.29127741 -0.19136523
1.25036216 5.42406130 -0.32164451
1.42381251 5.63115692 -0.51727426
1.47168076 5.58269453 -0.24195038
1.40322649 5.62455654 -0.55011362
1.07483459 5.28975391 -0.36236614
1.08829081 5.27246428 -0.27142188
0.99772036 5.19772863 -0.27630866
1.12197089 5.30244732 -0.27656895
1.13014042 5.40911055 -0.56124747
0.80656767 5.21593952 -0.62725264
0.86581212 5.27612829 -0.65364140
0.96500778 5.24055529 -0.48646975
0.95290869 5.34977198 -0.66943049
0.71783280 5.08809614 -0.54469198
0.74459684 5.14755964 -0.59134007
0.82317990 4.85733461 0.25923496
0.90324557 4.94774628 0.26034611
0.76183707 4.78109741 0.35070550
0.72856486 4.76918507 0.18076083
1.04288042 5.17415476 -0.09176859
0.83787191 4.90180969 0.12404600
0.98574603 5.09081411 0.00037081
0.70937246 4.82792187 -0.08534358
0.92265886 5.04704714 -0.08986856
0.94012171 5.12950277 -0.24922717
0.79674035 4.94799232 -0.16155899
0.80926412 4.96514559 -0.17222643
0.68857688 4.89469433 -0.29063892
0.85438818 5.11591005 -0.41679689
0.68950766 4.92466974 -0.35192552
0.60922837 4.88118887 -0.38737985
0.53218806 4.87472725 -0.47118267
0.62385321 4.93387699 -0.44411343
0.46281388 4.79277468 -0.44235492
0.52901626 4.54137564 0.18998942
0.44369632 4.46156073 0.04586773
0.52405041 4.56378460 0.04159310
0.58341110 4.69552279 -0.09614034
0.39960942 4.59708309 -0.26813167
-1.25876558 7.11593151 1.13113666
-0.66435647 6.90938234 0.47614151
-0.82071483 7.08773947 0.67686063
-1.18336701 7.07171679 1.04392421
-1.03396356 7.11082077 0.90015227
-1.16956365 7.05157089 1.02502763
-1.28290975 7.23271656 1.17972374
-0.78133827 6.96757936 0.60821462
-1.28963482 7.17421198 1.17430937
-1.25813389 7.26641846 1.16135454
-1.60329390 7.20385408 1.50255680
-1.62806356 7.26450729 1.57628322
-1.50232816 7.27345276 1.43575025
-1.48531568 7.28239965 1.42635393
-1.65933478 7.24550676 1.68096197
-1.71477687 7.16178131 1.73536968
-1.38233149 7.28418398 1.56578159
-1.45325732 7.20537758 1.62156773
-1.38955545 7.30831671 1.55773938
-1.03430820 7.19161558 1.48691320
-1.31972277 7.11360645 1.60645616
-1.14462757 7.19396019 1.52600515
-0.27941042 6.85578823 1.17598128
-0.43878686 6.93066645 1.22543168
-0.60714984 6.79898262 0.39876285
-0.57962698 6.76374769 0.36445451
-1.08300328 7.18159914 0.97545391
-0.71070623 6.87139225 0.52966660
-0.99446344 7.19995975 0.91006219
-0.67789173 6.82033443 0.47991717
-1.17082715 7.27030993 1.09046590
-0.95661312 7.25187492 0.94876915
-1.02670348 7.25199986 0.99039823
-1.09413517 7.34055328 1.19397020
-1.07390976 7.38238907 1.30730128
-1.21792364 7.35332298 1.44723666
-0.73258436 7.21512175 1.27559817
-0.96157956 7.29089308 1.34356856
-0.58013415 7.04853678 1.26992404
-0.88236189 7.20331049 1.39557183
-0.56282115 7.10961294 1.24185956
-0.22594428 6.87980366 1.08360410
-0.28025347 6.91899443 1.10935593
-0.76624250 7.00516796 0.64281768
-0.43227100 6.58131552 0.21951267
-0.41726544 6.61225700 0.23669824
-0.95519298 7.29776812 1.05064511
-0.70724034 7.07203150 0.70891196
-0.82307500 7.26274729 1.04150152
-0.69192445 7.16014719 0.88330168
-0.74889624 7.24555779 1.22860622
-0.69162440 7.22352362 1.06890571
-0.39763570 7.04877663 1.03790593
-0.58884650 7.16561556 1.02720141
-0.15282643 6.85471630 1.01396501
-0.26357138 6.93568134 1.06397521
0.17947985 6.58634329 0.82940513
-0.44087821 6.66452312 0.28885138
-0.29618344 6.41168690 0.08927423
-0.28266600 6.44099808 0.14775138
-0.59791940 7.14052916 0.89416528
-0.60781258 7.03924084 0.69768387
-0.47447112 6.97988272 0.73731995
-0.58887035 7.15552950 0.92744678
-0.46206382 6.94526434 0.69172156
-0.29022893 6.95110750 0.92129254
-0.39387494 7.01347256 0.90081817
-0.32590348 6.96235275 0.88857049
-0.04748499 6.72581768 0.78053576
-0.10369420 6.77834320 0.81368041
0.21384461 6.53429699 0.75759131
0.44350457 6.31406307 0.65644205
-0.19470961 6.30714655 0.08062039
-0.17783579 6.43547726 0.24562912
-0.18169457 6.30310488 0.10539864
-0.25864986 6.71049547 0.52176356
-0.28139919 6.61144733 0.35511214
-0.15876499 6.57063818 0.44791049
-0.14991319 6.58751297 0.47840062
-0.09392667 6.58604193 0.53236675
-0.04479630 6.60650349 0.61109316
