# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2932
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2932
DATA ascii
1.56544268 -0.47949389 2.36535931
1.46889973 -0.35371670 2.31823182
1.55661368 -0.34114569 2.19734097
1.72262049 -0.48548740 2.17744899
1.66194260 -0.48939818 2.25513172
1.72685778 -0.36486143 2.03471041
1.85032904 -0.51972604 2.11060619
1.88504386 -0.42851728 2.01013374
1.81699705 -0.34191814 1.95954144
1.93640757 -0.36068252 1.90992427
2.23393679 -0.26935899 1.68764377
2.37436295 -0.38931063 1.77852595
2.32907867 -0.42708880 1.82082355
2.59135318 0.01994675 1.32157421
2.30226922 -0.15521741 1.55936563
2.44111681 -0.12563431 1.50911427
0.67762160 0.25832590 2.68831253
0.52803677 0.36957946 2.60870004
0.76156092 0.19538912 2.67275763
0.51847476 0.39237630 2.48311877
0.94326979 0.10991625 2.26355696
0.93762112 0.14640704 2.16223335
1.46544814 -0.22463037 2.13116980
1.20694900 -0.10477950 2.26947975
1.40198469 -0.15468706 2.07816076
1.22819364 0.04296181 1.95480275
1.42188859 -0.12325850 1.99774933
1.13366187 0.02944947 2.09574366
1.75913489 -0.31970283 1.96842051
2.01822090 -0.21348023 1.70123148
1.72802317 -0.12347335 1.74551582
1.89999533 0.01095444 1.45032787
1.68780994 -0.07031902 1.70010793
1.70986402 0.01479126 1.56211317
2.05476165 -0.19664621 1.65815341
2.13462901 -0.06555028 1.47115815
2.27074933 0.01771810 1.35838950
2.23397088 0.08998607 1.27662086
2.43382502 0.18012038 1.11894095
2.04685950 0.10253759 1.27025270
2.48519611 0.19744194 1.08714104
0.54352379 0.38234484 2.20636630
0.69164491 0.29479340 2.20032811
0.38084006 0.47626129 2.40470362
0.64872843 0.34382859 2.08220291
0.75339907 0.29314488 2.01500273
0.81088746 0.24816321 2.05296302
1.03951120 0.17073831 1.89418721
1.06240928 0.13554004 1.96485817
1.03708053 0.14838929 1.96611249
1.28221571 0.16517240 1.57087541
1.38328540 0.07051247 1.66979337
1.04225767 0.27463257 1.61700702
1.53993487 0.03933362 1.62399411
1.84104407 0.09389754 1.35462880
1.46750140 0.03324632 1.67652547
1.75864387 0.13868207 1.31791306
1.65335965 0.27897134 1.09142089
1.80092657 0.22015527 1.11638522
1.86821413 0.09544210 1.33553314
1.97730899 0.23995975 1.06412339
2.18845773 0.31328684 0.92698383
1.98799539 0.27603066 1.00710130
2.44179606 0.32964134 0.87329113
2.30696678 0.44548810 0.60959113
2.20950437 0.39305308 0.74087161
2.04730463 0.34116340 0.87566841
0.53635979 0.44125375 1.88660419
0.53629446 0.43969962 1.94767749
0.23776565 0.57400858 2.12624550
0.63247114 0.39764977 1.84311426
0.37269980 0.54298681 1.70644867
0.21856435 0.61448687 1.71306074
0.53112924 0.46653143 1.71716678
0.99418330 0.32491770 1.52025795
0.96691310 0.33762234 1.51037884
0.71975458 0.39292926 1.68580914
0.95127827 0.39957550 1.29871750
0.88278604 0.42058742 1.31878412
0.63331741 0.48729447 1.42688274
1.51714027 0.30992806 1.10604966
