# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2434
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2434
DATA ascii
1.75608432 4.26112175 -0.01785405
1.8077203 4.52456903 0.05291428
1.67468095 4.29908657 -0.01596884
1.68273747 4.49345112 0.03368133
1.59738386 4.55414438 0.04148599
0.77953738 5.6566534 0.09506037
0.51444793 5.58149099 0.05141333
0.43518198 5.61652708 0.05322623
0.58177179 5.52695084 0.04356271
0.86289024 5.50831413 0.06535567
0.67451829 5.4919939 0.04338865
0.66499466 5.40200186 0.02038294
0.73113018 5.32690668 0.00762493
1.07902932 5.41966629 0.06231096
0.91160411 5.26621628 0.00842411
0.82317591 5.20538235 -0.01463332
0.86365753 5.17978573 -0.01754386
1.09073853 5.3043766 0.03461752
1.12480891 5.17914104 0.00613836
0.99814719 5.14972925 -0.01299216
0.9344039 5.1088891 -0.02902147
1.30564296 5.38461637 0.07457113
1.38507092 5.25435448 0.04856148
1.18437636 5.17833948 0.01142545
1.17564607 5.02448893 -0.02807325
1.35678971 5.05942726 -0.00282391
1.52812481 4.931499 -0.01870357
3.06710649 4.83110523 0.09650515
2.6724112 4.67927408 0.02220478
2.73414135 4.73334503 0.04138783
2.8044076 4.88325357 0.08532362
2.94190598 4.92830992 0.10935636
2.65240312 4.88202238 0.07125901
2.51323771 5.00988722 0.0905409
2.34899259 4.70741367 -0.00014812
2.32218266 4.82258844 0.02633466
2.35711932 4.99265528 0.07177626
2.42224932 5.11057997 0.10799139
2.25186133 4.88482046 0.03539518
2.10003424 4.82620287 0.00637224
2.22366381 4.98132324 0.05670397
2.16514254 5.05453014 0.07041648
1.80990911 4.75102139 -0.03871246
1.87562442 4.93349266 0.01355072
1.62918556 4.89682245 -0.01888882
0.45288733 6.38095522 0.10342522
0.50251287 6.24960327 0.07503112
0.98778439 6.10680437 0.08361595
0.9035489 6.04565048 0.06065714
0.90376246 5.99499369 0.04748292
0.81262338 5.92106867 0.02065451
1.18427777 6.03809929 0.08470133
1.30667925 5.93928289 0.0704708
1.28061736 5.92126131 0.06357845
1.25428891 5.83383751 0.03926724
1.3113966 5.6591363 0.00091518
1.59139264 5.65382957 0.02517061
1.72054446 5.59963083 0.02331896
3.21969724 5.14875841 0.0470201
2.94697952 5.17445278 0.02852246
3.00137496 5.29582071 0.06384629
2.58722448 5.10697603 -0.02125621
2.78264642 5.21598005 0.02386587
2.72843671 5.27689123 0.03414448
2.7316494 5.43994236 0.0754295
2.47428226 5.17430925 -0.01492625
